epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,943.361,0.7741,0.65125,0.92965,0.94347,0.93922,0.99266,0.78425,0.76947,0.77247,0.96568,0.0009926,0.0009926,0.0009926
106,952.089,0.80306,0.66426,0.93268,0.98289,0.99536,0.995,0.80522,0.7106,0.68944,0.94283,0.000990125,0.000990125,0.000990125
107,961.044,0.74264,0.62864,0.88764,0.98179,1,0.995,0.82602,0.67304,0.63557,0.92157,0.00098765,0.00098765,0.00098765
108,969.846,0.76772,0.63675,0.92576,0.97813,1,0.995,0.82806,0.66956,0.62862,0.91886,0.000985175,0.000985175,0.000985175
109,978.721,0.8039,0.66612,0.99804,0.98689,1,0.995,0.81923,0.67739,0.62913,0.92294,0.0009827,0.0009827,0.0009827
110,987.373,0.83207,0.67727,0.99941,0.99285,0.99781,0.995,0.82117,0.68699,0.62651,0.92654,0.000980225,0.000980225,0.000980225
111,996.121,0.84549,0.66065,0.95172,0.98962,0.99776,0.995,0.83404,0.6786,0.62467,0.9248,0.00097775,0.00097775,0.00097775
112,1005.2,0.77957,0.72214,0.99259,0.99022,0.99571,0.995,0.839,0.67144,0.60683,0.92356,0.000975275,0.000975275,0.000975275
113,1014.1,0.69392,0.60294,0.91313,0.99242,0.99431,0.995,0.83267,0.67133,0.58129,0.925,0.0009728,0.0009728,0.0009728
114,1023,0.71516,0.58259,0.92415,0.99472,0.99282,0.995,0.82301,0.66792,0.56728,0.92226,0.000970325,0.000970325,0.000970325
115,1031.94,0.70637,0.55074,0.90606,0.99613,0.99523,0.995,0.83021,0.65722,0.56841,0.91607,0.00096785,0.00096785,0.00096785
116,1041.02,0.74777,0.59017,0.9201,0.99546,1,0.995,0.83735,0.65228,0.56902,0.90959,0.000965375,0.000965375,0.000965375
117,1049.67,0.72854,0.61939,0.88953,0.9929,0.9969,0.995,0.84097,0.66279,0.58704,0.90888,0.0009629,0.0009629,0.0009629
