epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,180.513,0.71444,0.59776,0.91128,0.94722,0.97296,0.99154,0.823,0.69436,0.75192,0.92621,0.00086885,0.00086885,0.00086885
156,181.686,0.69102,0.56246,0.90344,0.93612,0.98496,0.99222,0.8171,0.6913,0.73553,0.92645,0.000866375,0.000866375,0.000866375
157,182.849,0.72043,0.6147,0.89621,0.94848,1,0.99175,0.80676,0.69926,0.72111,0.93206,0.0008639,0.0008639,0.0008639
158,183.998,0.68787,0.57165,0.92316,0.94467,0.99195,0.99053,0.81489,0.70735,0.72211,0.92332,0.000861425,0.000861425,0.000861425
159,185.15,0.69354,0.5846,0.89145,0.92331,0.99559,0.99021,0.81886,0.70549,0.68184,0.92091,0.00085895,0.00085895,0.00085895
160,186.309,0.68842,0.60891,0.92812,0.95337,0.99282,0.99412,0.81588,0.7014,0.65,0.92265,0.000856475,0.000856475,0.000856475
161,187.476,0.67157,0.55135,0.87463,0.98428,0.99769,0.99477,0.81983,0.69569,0.63025,0.92296,0.000854,0.000854,0.000854
162,188.746,0.72464,0.59118,0.90994,0.97634,0.99405,0.995,0.82777,0.68496,0.62376,0.91733,0.000851525,0.000851525,0.000851525
163,189.894,0.65467,0.56257,0.9041,0.98966,0.97917,0.995,0.82758,0.68893,0.60528,0.91487,0.00084905,0.00084905,0.00084905
164,191.037,0.68859,0.60037,0.88874,0.98242,0.97982,0.99477,0.82067,0.70286,0.61353,0.91721,0.000846575,0.000846575,0.000846575
165,192.195,0.71173,0.63158,0.91274,0.98353,0.98071,0.99477,0.82956,0.70319,0.63704,0.91607,0.0008441,0.0008441,0.0008441
166,193.364,0.6794,0.56678,0.90408,0.98505,0.98287,0.995,0.83422,0.68516,0.63487,0.9089,0.000841625,0.000841625,0.000841625
167,194.528,0.69471,0.5723,0.93507,0.98178,0.99689,0.995,0.83636,0.68394,0.61726,0.90988,0.00083915,0.00083915,0.00083915
168,195.806,0.66995,0.57024,0.88496,0.98726,0.99734,0.995,0.82827,0.70013,0.60678,0.91693,0.000836675,0.000836675,0.000836675
169,197.037,0.66461,0.56138,0.89542,0.99025,0.99869,0.995,0.83045,0.70503,0.5765,0.92048,0.0008342,0.0008342,0.0008342
170,198.285,0.64392,0.57162,0.91283,0.99121,0.99422,0.995,0.83661,0.68263,0.55331,0.91592,0.000831725,0.000831725,0.000831725
171,199.438,0.65185,0.54504,0.90324,0.99136,0.99241,0.995,0.838,0.65692,0.5295,0.91176,0.00082925,0.00082925,0.00082925
172,200.598,0.70374,0.55056,0.90616,0.98822,0.99184,0.995,0.84318,0.63675,0.5215,0.90728,0.000826775,0.000826775,0.000826775
173,201.755,0.67929,0.56223,0.90301,0.98769,0.9918,0.995,0.84743,0.63284,0.53427,0.90733,0.0008243,0.0008243,0.0008243
174,202.91,0.64274,0.54626,0.88337,0.9936,0.99165,0.995,0.84565,0.64788,0.55032,0.91264,0.000821825,0.000821825,0.000821825
175,204.066,0.69154,0.57105,0.91906,0.99166,0.99365,0.995,0.84714,0.64634,0.5572,0.90998,0.00081935,0.00081935,0.00081935
