epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,126.647,0.80436,0.76506,0.9244,0.93755,0.20198,0.84386,0.67238,0.78434,2.45058,0.96229,0.0010025,0.0010025,0.0010025
102,127.825,0.76636,0.71737,0.92603,0.93734,0.20415,0.85846,0.6874,0.76637,2.43972,0.95177,0.00100003,0.00100003,0.00100003
103,129.005,0.79414,0.76668,0.96333,0.92426,0.18943,0.86068,0.69114,0.77109,2.48759,0.95545,0.00099755,0.00099755,0.00099755
104,130.212,0.81585,0.74759,0.93374,0.91048,0.19861,0.87449,0.70687,0.76644,2.4042,0.95758,0.000995075,0.000995075,0.000995075
105,131.494,0.82607,0.7792,0.93382,0.88774,0.21671,0.86093,0.70409,0.76172,2.31226,0.95178,0.0009926,0.0009926,0.0009926
106,132.769,0.76062,0.77286,0.97178,0.85107,0.22317,0.81923,0.66243,0.78665,2.30683,0.97203,0.000990125,0.000990125,0.000990125
107,133.958,0.77873,0.76246,0.97752,0.84366,0.25925,0.82059,0.6511,0.81466,2.31108,0.99337,0.00098765,0.00098765,0.00098765
108,135.141,0.86582,0.76019,0.94561,0.84264,0.33251,0.85425,0.68628,0.78943,2.18972,0.9787,0.000985175,0.000985175,0.000985175
109,136.324,0.76491,0.70351,0.91346,0.83975,0.39078,0.86323,0.70581,0.77251,2.08355,0.9636,0.0009827,0.0009827,0.0009827
110,137.518,0.78373,0.7639,0.95233,0.84143,0.39792,0.86568,0.71214,0.76734,2.0761,0.95599,0.000980225,0.000980225,0.000980225
111,138.8,0.84418,0.70246,0.91477,0.84132,0.3164,0.84315,0.68881,0.7681,2.13179,0.95788,0.00097775,0.00097775,0.00097775
112,140.052,0.79159,0.71106,0.94257,0.85683,0.36342,0.87232,0.69054,0.80558,2.04297,0.97628,0.000975275,0.000975275,0.000975275
113,141.322,0.79515,0.73822,0.92641,0.85892,0.58459,0.90544,0.71828,0.80414,1.82829,0.97632,0.0009728,0.0009728,0.0009728
114,142.657,0.80165,0.70648,0.9523,0.85875,0.73107,0.94078,0.77243,0.75798,1.63637,0.96667,0.000970325,0.000970325,0.000970325
115,143.956,0.73255,0.66065,0.92352,0.84719,0.87144,0.94736,0.78507,0.73938,1.50151,0.96433,0.00096785,0.00096785,0.00096785
116,145.211,0.75898,0.67561,0.90963,0.85354,0.89441,0.95318,0.7737,0.7342,1.43368,0.9701,0.000965375,0.000965375,0.000965375
117,146.407,0.77074,0.70436,0.95429,0.87391,0.90492,0.95752,0.78459,0.73475,1.42938,0.96488,0.0009629,0.0009629,0.0009629
118,147.596,0.81187,0.6876,0.93634,0.92248,0.9103,0.96704,0.7915,0.72498,1.40863,0.95045,0.000960425,0.000960425,0.000960425
119,148.802,0.77549,0.68659,0.93568,0.96894,0.92227,0.98308,0.79063,0.7338,1.34696,0.94318,0.00095795,0.00095795,0.00095795
120,150.017,0.78138,0.68949,0.93599,0.99139,0.93529,0.99214,0.80747,0.71415,1.34595,0.93328,0.000955475,0.000955475,0.000955475
121,151.236,0.71386,0.68389,0.91909,0.99272,0.92908,0.99313,0.80195,0.71174,1.39908,0.93039,0.000953,0.000953,0.000953
122,152.529,0.73931,0.65227,0.9586,0.99189,0.94135,0.99058,0.79896,0.73322,1.4427,0.93717,0.000950525,0.000950525,0.000950525
123,153.768,0.71801,0.64669,0.90865,0.9886,0.93419,0.98899,0.80787,0.76223,1.37138,0.9513,0.00094805,0.00094805,0.00094805
124,155.018,0.77013,0.70247,0.94272,0.96555,0.91366,0.98842,0.81916,0.73093,1.35488,0.94274,0.000945575,0.000945575,0.000945575
125,156.252,0.7225,0.6635,0.93118,0.92898,0.89001,0.98815,0.81795,0.7079,1.32741,0.92884,0.0009431,0.0009431,0.0009431
126,157.469,0.74128,0.6657,0.93417,0.91966,0.87139,0.98649,0.81042,0.71174,1.32016,0.92889,0.000940625,0.000940625,0.000940625
127,158.673,0.70507,0.64883,0.9192,0.91152,0.8655,0.9839,0.813,0.70645,1.31529,0.92808,0.00093815,0.00093815,0.00093815
128,159.871,0.74877,0.65243,0.90317,0.8987,0.88354,0.98311,0.80521,0.71652,1.26927,0.9353,0.000935675,0.000935675,0.000935675
129,161.107,0.75211,0.65201,0.89425,0.87413,0.83735,0.98041,0.80429,0.72156,1.2792,0.9411,0.0009332,0.0009332,0.0009332
130,162.431,0.77343,0.71777,0.93257,0.8644,0.87394,0.97495,0.7905,0.73248,1.25332,0.94622,0.000930725,0.000930725,0.000930725
131,163.627,0.73375,0.71561,0.92201,0.85539,0.88724,0.95422,0.78286,0.73081,1.26267,0.94425,0.00092825,0.00092825,0.00092825
132,164.847,0.75886,0.67518,0.89203,0.86942,0.95397,0.94443,0.77563,0.73141,1.19176,0.94585,0.000925775,0.000925775,0.000925775
133,166.084,0.76861,0.67405,0.9213,0.89407,0.95415,0.95081,0.77759,0.74562,1.17383,0.95577,0.0009233,0.0009233,0.0009233
134,167.32,0.7352,0.67783,0.93668,0.90302,0.93573,0.96466,0.76874,0.78942,1.15153,0.98052,0.000920825,0.000920825,0.000920825
135,168.523,0.75374,0.74299,0.99687,0.93433,0.93539,0.96802,0.77403,0.80368,1.12602,0.98613,0.00091835,0.00091835,0.00091835
136,169.731,0.76507,0.67476,0.94893,0.91232,0.9369,0.96818,0.7893,0.75221,1.07442,0.9583,0.000915875,0.000915875,0.000915875
137,170.924,0.75967,0.6902,0.9414,0.90676,0.94424,0.96872,0.79384,0.74296,1.02398,0.95583,0.0009134,0.0009134,0.0009134
138,172.183,0.7778,0.68598,0.93639,0.90531,0.94251,0.96987,0.77737,0.7611,1.03609,0.96326,0.000910925,0.000910925,0.000910925
139,173.514,0.75174,0.71258,0.95889,0.90338,0.95283,0.97165,0.7546,0.79335,1.06836,0.97237,0.00090845,0.00090845,0.00090845
140,174.713,0.75937,0.68782,0.92575,0.89943,0.97074,0.97321,0.75574,0.80171,1.05524,0.97276,0.000905975,0.000905975,0.000905975
141,175.924,0.75014,0.64405,0.92884,0.90841,0.97331,0.97422,0.78049,0.76086,0.95045,0.95436,0.0009035,0.0009035,0.0009035
142,177.133,0.66251,0.64202,0.91642,0.93331,0.96875,0.97464,0.78224,0.72376,0.84149,0.94239,0.000901025,0.000901025,0.000901025
143,178.356,0.7357,0.63771,0.90576,0.92827,0.9683,0.97641,0.80218,0.70105,0.77275,0.93172,0.00089855,0.00089855,0.00089855
144,179.571,0.69387,0.61336,0.8776,0.97609,0.97523,0.98147,0.8135,0.70215,0.70378,0.92982,0.000896075,0.000896075,0.000896075
145,180.786,0.68322,0.63472,0.89644,0.96854,0.97656,0.98361,0.8143,0.71179,0.64858,0.93132,0.0008936,0.0008936,0.0008936
146,182.042,0.69538,0.63326,0.94016,0.96365,0.97656,0.9861,0.81753,0.69996,0.61721,0.92797,0.000891125,0.000891125,0.000891125
147,183.353,0.70768,0.60867,0.93856,0.96134,0.97656,0.9884,0.82723,0.67318,0.60098,0.91956,0.00088865,0.00088865,0.00088865
148,184.575,0.70966,0.60574,0.88295,0.96142,0.97656,0.98864,0.82324,0.66221,0.61688,0.91309,0.000886175,0.000886175,0.000886175
149,185.778,0.71455,0.60802,0.92812,0.98287,0.97492,0.9899,0.8334,0.6613,0.63859,0.91311,0.0008837,0.0008837,0.0008837
150,186.992,0.70177,0.60324,0.90677,0.9886,0.96875,0.98835,0.83077,0.66796,0.63571,0.91692,0.000881225,0.000881225,0.000881225
151,188.225,0.68302,0.58367,0.91679,0.99098,0.97252,0.98811,0.82318,0.68658,0.62953,0.92259,0.00087875,0.00087875,0.00087875
152,189.43,0.67094,0.58539,0.90879,0.98317,0.96152,0.98507,0.82198,0.68432,0.65164,0.92397,0.000876275,0.000876275,0.000876275
